"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"TF448bf",3,0.721043343599046,5,0.529987415441255,1,0.455838992736197,0.0741484227050582
"TK689nu",3,0.73404831218372,7,0.517304022965039,2,0.502744860205481,0.0145591627595579
"TL153cy",5,0.647138762950478,9,0.485029939245474,1,0.459438671475888,0.025591267769586
"TS698ab",8,0.585724945334095,1,0.463917590139817,4,0.435780016272141,0.0281375738676768
"TT028zm",8,0.607034808571237,7,0.484936704940724,5,0.413615750757064,0.0713209541836603
"TU528ob",5,0.622003528769085,2,0.456478190224451,4,0.430327350337633,0.0261508398868184
"UB643ue",4,0.687705200944336,7,0.505610829962521,4,0.4825288955047,0.0230819344578213
"UH830fx",7,0.613240306492091,1,0.46908513067776,3,0.460643292895172,0.00844183778258784
"UU234cj",3,0.743214697269433,8,0.60738616607019,4,0.515016749764672,0.0923694163055175
"VA658ao",3,0.753342067269542,7,0.601020422683205,6,0.561144436407382,0.039875986275823
"VG516jp",3,0.760067599764663,3,0.541550514039077,4,0.534835474849967,0.0067150391891101
"VM013eb",3,0.746833179699483,9,0.612086646501819,6,0.515604630119628,0.0964820163821903
"VN588gk",6,0.675364462949988,4,0.530710038974833,7,0.437431821760722,0.0932782172141116
"VO721kd",4,0.71672777828829,7,0.539525799476436,9,0.527595310178514,0.0119304892979212
"VP449hx",5,0.70253601707013,7,0.540878904731941,8,0.519614113760944,0.0212647909709973
"VR318yq",5,0.670090432836811,8,0.534416341792291,1,0.516914921420518,0.0175014203717733
"VR912fh",6,0.64325129621224,1,0.500840171795157,2,0.492955897983981,0.00788427381117646
"VV360uz",2,0.865450464584271,4,0.556497800763015,8,0.540871578489553,0.0156262222734621
"VW388us",5,0.66577587027153,7,0.516076844183269,3,0.505652893224911,0.0104239509583584
"VY243nv",4,0.686205176565223,1,0.49757790881412,8,0.479945708639276,0.0176322001748433
"WE395gy",4,0.76707478552816,1,0.50182562512536,5,0.47160042686923,0.0302251982561298
"WE857pj",6,0.661461667105641,7,0.511187776384984,8,0.489561129352161,0.0216266470328224
"WF463nw",4,0.707827837651667,8,0.556070314099627,9,0.525963672300887,0.03010664179874
"WG155do",4,0.665233272522601,1,0.494462373724338,4,0.448810790327171,0.0456515833971677
"WH640ds",5,0.650728796726429,8,0.528787271328363,1,0.489304093595382,0.039483177732981
"WM184wm",4,0.735122763451038,6,0.648741349798064,4,0.501697375925524,0.14704397387254
"WM775rx",4,0.69997211040186,7,0.518885335957522,4,0.438657473521195,0.0802278624363266
"WN170fi",5,0.682107156692342,7,0.570238161972982,9,0.449915389293917,0.120322772679065
"WR468pv",5,0.618419653353523,5,0.437719465214952,1,0.432599140524182,0.00512032469076967
"WT519ki",2,0.779715458686047,7,0.556379217312783,4,0.475630054250915,0.0807491630618677
"WU227xd",8,0.600030003554575,3,0.48101032558014,4,0.477813698657931,0.00319662692220901
"XA323ri",1,0.999999999999997,1,0.615009199253115,5,0.559343819922167,0.0556653793309477
"XE987ty",6,0.670136968266888,7,0.584215183794972,6,0.468851298795298,0.115363884999674
"XJ512ns",5,0.648986127249796,9,0.491240458819015,6,0.479286030098069,0.0119544287209463
"XK398tk",3,0.713460517136981,1,0.475023345991166,3,0.46669950038104,0.00832384561012661
"XO687zh",4,0.696189052978245,4,0.49365510086512,8,0.485000788781083,0.00865431208403789
"XQ558tt",5,0.708253130251988,7,0.564850829200967,9,0.523782246042282,0.0410685831586848
"YA457dg",10,0.570177947083496,3,0.47518198697783,5,0.448317525235766,0.0268644617420639
"YB659ta",2,0.837818624517126,7,0.589348948874612,2,0.542547334315815,0.0468016145587971
"YD003an",3,0.697774964033721,2,0.524388197849926,5,0.467952799208397,0.0564353986415288
"YD507fd",4,0.634403018925712,9,0.44807894804737,2,0.441358611216853,0.00672033683051659
"YD948tj",5,0.651016078399303,9,0.503778876857672,3,0.48616617829902,0.0176126985586511
"YF301sz",3,0.718126758867038,1,0.487594842954554,9,0.47725805020723,0.0103367927473234
"YH076he",5,0.678175548335616,1,0.52733150318414,5,0.483449825877911,0.0438816773062289
"YH607ob",3,0.738838085742401,6,0.566128781735929,4,0.538864013697285,0.0272647680386439
"YI996al",4,0.71607894897962,8,0.539250314094509,1,0.512347452572205,0.0269028615223046
"YN948dh",5,0.680146089609408,4,0.539377855171666,8,0.523234984630828,0.016142870540838
"YO500ke",7,0.626253957061659,4,0.456109464406665,7,0.443165589982272,0.0129438744243934
"YS026tx",5,0.65487586611233,1,0.455633649648356,5,0.453168454867094,0.00246519478126234
"YS645yr",5,0.643748299832712,4,0.497128140154004,1,0.491161508730914,0.00596663142308962
"YU161vn",5,0.675463151973851,1,0.496467310665143,3,0.42924273441653,0.0672245762486134
"YU703oj",3,0.692626121824077,7,0.542105232669472,4,0.462314350845959,0.0797908818235136
"YU707zw",5,0.713961367714027,1,0.574622122217762,3,0.410639834058676,0.163982288159086
"ZI289tp",10,0.605747026339618,3,0.47888988552862,4,0.47216012764336,0.00672975788525998
"ZJ384mu",5,0.687714919557545,6,0.594746615178135,3,0.516164464310233,0.0785821508679029
